USERNAME,EMAIL,PASSWORD,IS_PLAYING
wmcilraith1o,cbarkes1o@phpbb.com,zoUnroHAAON,1
llambricht1p,fecclesall1p@youku.com,QrxwfBa1ES,0
iskittrall1q,bwellen1q@technorati.com,PAoICP3,0
jladdle1r,cuccello1r@t-online.de,ryxwJAXC,0
afield1s,sbrandoni1s@java.com,efbbSXT,1
wlomis1t,mglashby1t@yahoo.com,X3jkx2ORzZ,0
mhazeldene1u,ifolder1u@vimeo.com,MrDpdKQ74LD7,1
hlulham1v,rrendbaek1v@chicagotribune.com,lN4e9naZ5GQ,1
balejandro1w,fodowling1w@symantec.com,ODnnTP256CTo,1
lhealing1x,ktaggert1x@buzzfeed.com,a2kOteHXy7UE,0
blobe1y,amorfield1y@google.com.hk,rsP1yqIzY4,1
bdonner1z,mhartropp1z@yelp.com,F50GaYkf2t2,0
dfoxhall20,mstanlack20@toplist.cz,eddeywXUq,1
gwilcott21,rsalvadore21@1und1.de,NwioMVutNox,0
dthiolier22,cmartyns22@mail.ru,S93C0eV,0
kagglione23,rcapun23@reverbnation.com,rt0t9mZd4,1
labbatt24,tharvard24@flickr.com,NANynYaIta,1
eoshaughnessy25,ddavoren25@sphinn.com,QwpjsUxWidhT,1
jmizzen26,psyrett26@spotify.com,ZWPhcaT,1
cweich27,jlipman27@hp.com,WqKzBK,0
troloff28,jrego28@archive.org,1Aew3Nt,1
pboyen29,lcrumbleholme29@feedburner.com,NpoHKXS89XV,1
cogg2a,jnand2a@dmoz.org,sjYD52,1
pwem2b,tneal2b@csmonitor.com,m29chDqOKh,0
medgeworth2c,jjude2c@apache.org,hgYBykF,0
djardine2d,hyven2d@intel.com,WETz7E,1
frichard2e,speddowe2e@scribd.com,nWzx6mNy1IYB,0
cgaffney2f,mphette2f@taobao.com,FFvzVXr8E,0
kablett2g,cfarragher2g@pinterest.com,yrBHsnKq,0
mgregoratti2h,ggulleford2h@wikipedia.org,LAkEVxqv75Xd,1
bfido2i,tleeuwerink2i@examiner.com,wg77lz10W,1
nbasey2j,mpallasch2j@gov.uk,DI8IKeex1,0
pguillet2k,gnorrie2k@theglobeandmail.com,oOy6BaNI,0
lcholdcroft2l,znelson2l@google.ca,iC2mGcujcl,1
swadeling2m,uledington2m@pcworld.com,jwKkiPS6lJJ,0
gwinny2n,rblaver2n@bandcamp.com,lNHY7330,1
dmcvitty2o,jdinning2o@creativecommons.org,E2qGshZU,1
tdanilevich2p,kwilleson2p@un.org,H0FRjiHAV,1
hfulle2q,ztrewinnard2q@simplemachines.org,J538RSP,0
kphizackerly2r,mromaynes2r@macromedia.com,YJVoIscZ,0
